,,,,,,,,,,,,
Creator,3-in-1,31169,Typewriter with Flowers,8+,363,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31171,Majestic Rhino,9+,780,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to TBA
Creator,3-in-1,31172,Record Player with Flowers,8+,366,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Creator,- ,40468,Yellow Taxi,7+,124,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,- ,40518,High-Speed Train,7+,284,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40519,New York Postcard,9+,253,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40569,London Postcard,9+,277,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40713,Japan Postcard,9+,262,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Botanical Collection,40725,Cherry Blossoms,8+,430,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31134,Space Shuttle,6+,144,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31140,Magical Unicorn,7+,145,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31146,Flatbed Truck with Helicopter,7+,270,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31147,Retro Camera,8+,261,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31159,Wild Animals - Surprise Spider,7+,153,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31161,Green Dragon,9+,715,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31163,Grey Cat,8+,407,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31170,Wild Animals - Pink Flamingo,8+,288,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31174,Retro Telephone,8+,383,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31166,Beautiful Horse,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31167,Haunted Mansion,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31173,Tropical Toucan,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31175,Unicorn Castle,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Botanical Collection,40460,Roses,8+,120,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Botanical Collection,40524,Sunflowers,8+,191,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Postcard,40818,Italy Postcard,,,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,3-in-1,31165,Wild Animals - Panda Family,8+,626,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,3-in-1,31168,Medieval Horse Knight Castle,,,"Dec 31, 2028",US,CA,UK,AU,MX,
DC,Character Mech,76270,Batman Mech Armour,6+,140,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76271,Batman: The Animated Series Gotham City,18+,4210,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76273,Batman Construction Figure And The Bat-Pod Bike,12+,713,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76274,Batman With The Batmobile VS. Harley Quinn And Mr. Freeze,8+,435,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76301,Batman & Batmobile vs. Mr. Freeze,4+,63,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Character Mech,76302,Superman Mech vs. Lex Luthor,6+,120,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76328,Batman: The Classic TV Series Batmobile,18+,1822,"Jul 31, 2026",US,CA,UK,AU,MX,
DC,Modular Building,76300,Arkham Asylum,18+,2953,"Dec 31, 2026",US,CA,UK,AU,MX,
DC,Batman,76303,Batman Tumbler vs. Two-Face & The Joker,8+,429,"Dec 31, 2026",US,CA,UK,AU,MX,
DC,Batman,76304,Batman Forever Batmobile,,,"Dec 31, 2026",US,CA,UK,AU,MX,
DC,Logo,76330,Batman Logo,12+,678,"Jul 31, 2027",US,CA,UK,AU,MX,
DC,Batman,76333,Batman & Robin Batmobile,9+,272,"Jul 31, 2027",US,CA,UK,AU,MX,
DC,Batman,76331,Batman v Superman™ Batmobile,9+,220,"Dec 31, 2027",US,CA,UK,AU,MX,
DC,Batman,76332,The Batman Batmobile,9+,330,"Dec 31, 2027",US,CA,UK,AU,MX,
Despicable Me,-,75580,Minions And Banana Car,6+,136,"Dec 31, 2025",US,CA,UK,AU,MX,
Despicable Me,-,75581,Minions' Music Party Bus,7+,379,"Dec 31, 2025",US,CA,UK,AU,MX,
Despicable Me,-,75582,Brick-Built Gru And Minions,9+,839,"Dec 31, 2025",US,CA,UK,AU,MX,
Despicable Me,-,75583,Minions And Gru's Family Mansion,8+,868,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,30695,Cinderella's Mini Garden Castle (Polybag),5,52,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,40720,Mini Disney Sleeping Beauty Castle,12+,528,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,- ,43222,Disney Castle,18+,4837,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Disney,- ,43230,Walt Disney Tribute Camera,18+,811,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43235,Ariel's Music Stage (4+),4+,60,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43237,Isabela's Flowerpot,9+,641,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43238,Elsa's Frozen Castle (4+),4+,163,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43242,Snow White and the Seven Dwarfs' Cottage,18+,2228,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43245,The Magical Madrigal House,7+,1560,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43248,Inside Out 2: Emotion Cubes,9+,394,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43251,Antonio's Animal Sanctuary,6+,310,"Dec 31, 2025",US,CA,UK,AU,MX,(NA) Exclusive to [TBD]
Disney,-,43252,Moana's Flowerpot,9+,619,"Dec 31, 2025",US,CA,UK,AU,MX,(NA) Exclusive to Target
Disney,-,43254,Ariel's Crystal Cavern (4+),4+,141,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43256,Anna's Sleigh Adventure,4+,192,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43259,Twirling Ariel,5+,93,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43261,Encanto Mini House,5+,186,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,Holiday,43273,Disney Advent Calendar 2025,5+,231,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43275,Cinderella's Castle & Horse Carriage,6+,596,"Dec 31, 2025",US,CA,UK,AU,MX,
Disney,-,43243,Simba The Lion King Cub,6+,222,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43244,Elsa's Ice Palace,6+,630,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43247,Young Simba The Lion King,18+,1445,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43266,Cinderella's Dress,9+,474,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,-,43274,Minnie's Pet Hotel,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Disney,- ,40478,Mini Disney Castle,12+,567,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Disney,-,40708,Mini Disney Ariel's Castle,12+,557,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Disney,- ,43217,'Up' House,9+,598,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43249,Stitch,9+,730,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43258,Kakamora Barge,7+,572,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43260,Moana's Island Fun,5+,175,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43262,Maleficent's and Cruella De Vil's Dresses,9+,524,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43263,Beauty and the Beast Castle,18+,2916,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43264,Toy Story Celebration Train & RC Car,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43265,Arendelle Frozen Castle,5+,177,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43267,Princess Castle & Royal Pets,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43268,Lilo and Stitch Beach House,9+,834,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43270,Moana Adventure Canoe,6+,529,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,-,43272,Heihei,9+,566,"Dec 31, 2026",US,CA,UK,AU,MX,
Disney,Villains,43277,Cruella De Vil's Car,9+,378,"Dec 31, 2026",US,CA,UK,AU,MX,(US) TBA exclusive
Disney,-,43278,Mini Arendelle Castle & Elsa's Ice Palace,,,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Walmart
Disney,-,43257,Angel,9+,784,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43269,101 Dalmatians Puppy,18+,1722,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43271,Lucky & Penny 101 Dalmatians Puppies,6+,268,"Dec 31, 2027",US,CA,UK,AU,MX,
Disney,-,43279,WALL-E and EVE,18+,811,"Dec 31, 2027",US,CA,UK,AU,MX,
DREAMZzz,-,30660,Zoey's Dream Jet Pack Booster Polybag,7+,37,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,30698,Cooper's Flying Controller Mini Build (Polybag),7,53,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71478,The Never Witch's Midnight Raven,9+,1203,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71479,Zoey's Cat Motorcycle,7+,226,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71480,Logan the Mighty Panda,7+,342,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71483,The Never Witch's Nightmare Creatures,9+,457,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71484,Cooper's Robot Dinosaur C-Rex,9+,917,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71485,Mateo and Z-Blob the Knight Battle Mech,10+,1333,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71486,Castle Nocturnia,10+,1742,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71487,Z-Blob's Robot and Vehicle Adventure,7+,121,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71488,Bunchu's Creative Animal Adventures,7+,143,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71489,Cooper's Flying Video Game Controller,7+,266,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71490,Izzie and Bunchurro the Gaming Bunny,7+,252,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71491,Mateo with the Z-Blob Action Racing Car,8+,485,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71497,Cooper's Tiger Mech and Zero's Hot Rod Car,9+,1006,"Dec 31, 2025",US,CA,UK,AU,MX,
DREAMZzz,-,71494,Zoey's Time Owl,,,"Jul 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71495,Mateo vs. Cyber Brain Mech,,,"Jul 31, 2026",US,CA,UK,AU,MX,
DREAMZzz,-,71492,Mateo's Fire Chameleon,,,"Jul 31, 2027",US,CA,UK,AU,MX,
DREAMZzz,-,71499,Mateo's Spray Paint Truck,,,"Jul 31, 2027",US,CA,UK,AU,MX,
DREAMZzz,-,71500,Nightmare Shark Submarine,,,"Jul 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10413,Daily Routines: Bath Time,1½+,15,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10414,Daily Routines: Eating & Bedtime,1½+,28,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10415,Big Feelings & Emotions,1½+,23,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Disney,10417,Mack at the Race,2+,14,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Disney,10418,Elsa & Bruni in the Enchanted Forest,2+,31,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10419,Caring for Bees & Beehives,2+,22,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10422,3in1 Space Shuttle Adventure,3+,58,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10423,Buildable People with Big Emotions,3+,71,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Marvel,10424,Spin's Motorcycle Adventure,2+,24,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10431,Peppa Pig Garden & Tree House,2+,20,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10432,Peppa Pig Boat Trip,2+,23,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10433,Peppa Pig Birthday House,2+,59,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10434,Peppa Pig Supermarket,2+,70,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,Disney,10435,Ariel's Magical Underwater Palace,2+,116,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10439,Cars And Trucks Brick Box,1½+,80,"Dec 31, 2025",US,CA,UK,AU,MX,(NA) Exclusive to [TBD]
Duplo,-,10449,First Time Visit to the Doctor,2+,65,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,- ,10931,Truck & Tracked Excavator,2+,20,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,- ,10965,Bath Time Fun: Floating Animal Train,1½+,14,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,- ,10967,Police Motorcycle,2+,5,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,- ,10969,Fire Truck,2+,21,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,- ,10993,3-in-1 Tree House,3+,126,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,- ,10994,3-in-1 Family House,3+,218,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,30673,My First Duck (Polybag),1½+,7,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,30686,My First Flower & Bee (Polybag),1½+,7,"Dec 31, 2025",US,CA,UK,AU,MX,
Duplo,-,10416,Caring for Animals at the Farm,2+,74,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10440,Balancing & Stacking Tree,1½+,27,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10454,Mickey Mouse Clubhouse & Car ,2+,27,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10457,Winnie the Pooh's Birthday Party,1½+,22,"Jul 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10412,Animal Train,1½+,19,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10441,Shape Sorter: Puppy House,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10442,Wild Animal Families: Penguins & Lions,2+,10,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10443,First Time at the Airport,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10444,Creative Garden & Flowers,2+,45,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Formula 1,10445,F1® Team Race Cars & Drivers,2+,70,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10446,3in1 Wild Animal Families,2+,92,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10448,3in1 Animals on Wheels,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10450,Hopsy's Castle Game,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10451,3in1 Dinosaurs on Wheels,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10452,Camping Trip,2+,32,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Peppa Pig,10453,Funfair,2+,53,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10455,Anna and Elsa's Frozen Castle Party,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Disney,10456,McQueen's Visit to Doc's Garage,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Bluey,10458,Ice Cream Trip with Bluey,2+,22,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,Bluey,10459,Bluey's Family House with Memory Game,3+,83,"Dec 31, 2026",US,CA,UK,AU,MX,
Duplo,-,10461,Grandpa Pig's Garden and Greenhouse,,,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Barnes and Noble
Duplo,-,10421,Alphabet Truck,2+,36,"Jul 31, 2027",US,CA,UK,AU,MX,
Duplo,-,10447,Ambulance & Driver,2+,19,"Jul 31, 2028",US,CA,UK,AU,MX,
Duplo,-,10425,Train Tunnel and Tracks Expansion Set,2+,20,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,-,10426,Train Bridge and Tracks Expansion Set,2+,42,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,-,10427,Interactive Adventure Train,2+,57,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,-,10428,Big Interactive Community Train,3+,103,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,Baseplate,10460,Green Building Plate,1½+,1,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,- ,10913,Brick Box,1½+,65,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,- ,10914,Deluxe Brick Box,1½+,85,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,Disney,10941,Mickey & Minnie Birthday Train,2+,22,"Dec 31, 2029",US,CA,UK,AU,MX,
Duplo,- ,10954,Number Train - Learn To Count,1½+,23,"Dec 31, 2029",US,CA,UK,AU,MX,
Family,-,41838,Travel Moments,14+,1231,"Dec 31, 2025",US,CA,UK,AU,MX,
Family,-,41839,Message Board,9+,1743,"Dec 31, 2025",US,CA,UK,AU,MX,
Family,-,41843,Family Christmas Tree,9+,3171,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77070,Durrr Burger,9+,193,"Dec 31, 2025",US,CA,UK,AU,MX,
Fortnite,-,77072,Peely Bone,18+,1414,"Dec 31, 2025",US,CA,UK,AU,MX,
Fortnite,-,77075,Peely & Sparkplug's Camp,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77076,Durrr Burger Restaurant,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77077,Klombo,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77078,Mecha Team Leader,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Fortnite,-,77071,Supply Llama,12+,691,"Dec 31, 2027",US,CA,UK,AU,MX,
Fortnite,-,77073,Battle Bus,10+,954,"Dec 31, 2027",US,CA,UK,AU,MX,
Friends,-,30696,Autumn's Waffle Stand (Polybag),5+,37,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,30697,Nova's Doghouse Build (Polybag),5,50,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,- ,41748,Heartlake City Community Centre,9+,1513,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,Space,42603,Stargazing Camping Vehicle,7+,364,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,- ,42604,Heartlake City Shopping Mall,8+,1237,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42606,Mobile Bakery Food Cart,6+,125,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42610,Karaoke Music Party,6+,196,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42614,Vintage Fashion Store,6+,409,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42618,Heartlake City Café,6+,426,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42620,Olly and Paisley's Family Houses,7+,1126,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42621,Heartlake City Hospital,7+,1045,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42622,Adventure Camp Archery Range,6+,157,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42623,Beach Water Scooter,5+,84,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42624,Adventure Camp Cozy Cabins,7+,437,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42625,Beach Smoothie Stand,6+,213,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42626,Adventure Camp Water Sports,7+,628,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42630,Heartlake City Water Park,8+,814,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42631,Adventure Camp Tree House,8+,1128,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42634,Horse and Pony Trailer,4+,105,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42635,Dog-Grooming Car (4+),4+,60,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42638,Castle Bed And Breakfast,12+,1311,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42639,Andrea's Modern Mansion,14+,2275,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Friends,-,42640,Guinea Pig Playground,5+,86,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42641,Surfing Dogs and Scooter Adventure,6+,113,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42643,Candyfloss Stand and Scooter,6+,110,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42645,Aliya's Baby Sister's Playroom,6+,125,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42646,Autumn's Room,6+,222,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42651,Horse and Pet Vet Clinic,7+,428,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42655,Restaurant and Cooking School,8+,896,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42656,Heartlake City Airport and Airplane,8+,958,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42662,Hair Salon and Accessories Shop ,7+,347,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,Holiday,42668,Friends Advent Calendar 2025,6+,237,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42669,Beekeepers' House and Flower Garden,12+,1161,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,-,42672,Creative Beach and Travel Suitcase,5+,188,"Dec 31, 2025",US,CA,UK,AU,MX,
Friends,Multipack,66806,Explore Outdoors Gift Set,7+,521,"Dec 31, 2025",US,CA,UK,AU,MX,(Contains 42603 + 42622)
Friends,-,42642,Friendship Movie Night,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42647,Paisley's Room,6+,199,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42653,Music Shop & Apartment,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42654,Pony Ranch & Stable,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42658,Unicorn & Flamingo Pool Party,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42670,Heartlake City Residential and Shopping Street,12+,2040,"Jul 31, 2026",US,CA,UK,AU,MX,
Friends,-,42644,Heartlake City Ice Cream Shop,4+,92,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42648,Panda Sanctuary,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42649,Heartlake City Sweet Shop,6+,376,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42650,Pet Accessories Shop,6+,375,"Dec 31, 2026",US,CA,UK,AU,MX,
Friends,-,42659,Friendship Road-Trip Travel Car,,,"Dec 31, 2026",US,CA,UK,AU,MX,
